Growth,Loss,Stable,id
0.0,0.0,1.0,87950922
0.3333333333333333,0.3333333333333333,0.3333333333333333,81395819
0.0,0.0,1.0,84152401
0.0,0.0,1.0,66411237
0.08333333333333333,0.23333333333333334,0.6833333333333335,29398292
0.0,0.0,1.0,97187302
0.0,0.0,1.0,76577468
0.22333333333333336,0.22333333333333336,0.5533333333333333,34090186
0.3333333333333333,0.3333333333333333,0.3333333333333333,54194878
0.22333333333333336,0.2695333333333334,0.5071333333333333,23083100
0.0,0.0,1.0,40450920
0.11000000000000001,0.78,0.11000000000000001,86348793
0.0,0.0,1.0,32106641
0.3333333333333333,0.3333333333333333,0.3333333333333333,92692533
0.0,0.0,1.0,13068541
0.0,0.0,1.0,7462434
0.06666666666666667,0.7866666666666667,0.14666666666666667,96421580
0.22333333333333336,0.2893333333333334,0.48733333333333334,24892701
0.0,0.1,0.9,79842933
0.08333333333333333,0.08333333333333333,0.8333333333333334,94123684
0.026666666666666665,0.8546666666666667,0.11866666666666667,89126486
0.0,0.08,0.92,54707156
0.0,0.92,0.08,26822782
0.04666666666666667,0.10686666666666667,0.8464666666666667,53693425
0.1,0.0,0.9,24933449
0.043333333333333335,0.16513333333333335,0.7915333333333333,76577468
0.03333333333333333,0.6363333333333334,0.33033333333333337,85905978
0.16666666666666666,0.21666666666666667,0.6166666666666667,1658418
0.02,0.06700000000000002,0.913,40950100
0.16666666666666666,0.22166666666666665,0.6116666666666667,83301603
0.06666666666666667,0.13066666666666665,0.8026666666666668,32106641
0.08333333333333333,0.18833333333333335,0.7283333333333334,91550861
0.05666666666666667,0.11476666666666668,0.8285666666666667,90568492
0.04666666666666667,0.7959735973597359,0.15735973597359737,83604768
0.04666666666666667,0.13266666666666668,0.8206666666666667,25149672
0.04666666666666667,0.10686666666666667,0.8464666666666667,8462380
0.04666666666666667,0.13266666666666668,0.8206666666666667,24892701
0.03666666666666667,0.10786666666666667,0.8554666666666667,19689836
0.06666666666666667,0.12266666666666667,0.8106666666666668,43610137
0.09666666666666665,0.15346666666666664,0.7498666666666667,62714787
0.16666666666666669,0.5416666666666667,0.2916666666666667,81395819
0.0,1.0,0.0,89126486
0.22333333333333333,0.2860333333333333,0.4906333333333333,32975512
0.0,0.0,1.0,64608259
0.2,0.468,0.332,57875477
0.22333333333333336,0.38833333333333336,0.38833333333333336,69839659
0.2866666666666667,0.3328666666666667,0.3804666666666667,34090186
0.08333333333333331,0.6833333333333333,0.23333333333333328,85905978
0.0,0.95,0.05,21844220
0.0,0.0,1.0,69004695
0.2866666666666667,0.39866666666666667,0.3146666666666667,67178806
0.27666666666666667,0.4177666666666667,0.3055666666666667,30523289
0.22333333333333336,0.49723333333333336,0.27943333333333337,92692533
0.11000000000000001,0.78,0.11000000000000001,91550861
0.16666666666666669,0.5416666666666667,0.2916666666666667,66357229
0.0,0.1,0.9,65778899
0.22333333333333333,0.44443333333333335,0.3322333333333333,14107830
0.16666666666666669,0.5416666666666667,0.2916666666666667,72972604
0.4175,0.25,0.3325,79842933
0.22333333333333336,0.48733333333333334,0.2893333333333334,19689836
0.3,0.38299999999999995,0.317,22546504
0.22333333333333333,0.44443333333333335,0.3322333333333333,786489
0.09666666666666665,0.13216666666666665,0.7711666666666667,84152401
0.08333333333333333,0.08333333333333333,0.8333333333333334,54707156
0.23666666666666666,0.5121666666666668,0.2511666666666667,32975512
0.3,0.315,0.38499999999999995,69249222
0.25,0.2875,0.4625,53355015
0.3333333333333333,0.3333333333333333,0.3333333333333333,14499395
0.0,1.0,0.0,54194878
0.0,0.0,1.0,74809158
0.22333333333333336,0.2695333333333334,0.5071333333333333,21844220
0.08333333333333333,0.08333333333333333,0.8333333333333334,2430050
0.2666666666666667,0.3066666666666667,0.4266666666666667,26861268
0.25,0.48250000000000004,0.2675,13068541
0.0,0.0,1.0,90568492
0.2866666666666666,0.37066666666666664,0.3426666666666666,66357229
0.043333333333333335,0.043333333333333335,0.9133333333333333,49607116
0.3333333333333333,0.3333333333333333,0.3333333333333333,19757086
0.3333333333333333,0.3333333333333333,0.3333333333333333,18472705
0.0,0.0,1.0,43610137
0.0,0.0,1.0,22546504
0.3333333333333333,0.3333333333333333,0.3333333333333333,42487167
0.0,0.0,1.0,66411237
0.03333333333333333,0.9333333333333333,0.03333333333333333,26822782
0.016666666666666666,0.016666666666666666,0.9666666666666667,64608259
0.06666666666666667,0.7066666666666668,0.22666666666666668,69249222
0.08333333333333333,0.08333333333333333,0.8333333333333334,33246590
0.0,0.25,0.75,50043403
0.0,0.0,1.0,23083100
0.06666666666666667,0.06666666666666667,0.8666666666666667,1658418
0.0,0.0,1.0,2430050
0.03333333333333333,0.15933333333333335,0.8073333333333333,21053593
0.16666666666666666,0.21666666666666667,0.6166666666666667,55392938
0.0,1.0,0.0,83604768
0.0,0.05,0.95,65778899
0.2,0.0,0.8,49607116
0.0,0.1,0.9,77779142
0.0,0.08,0.92,4462248
0.0,0.05,0.95,18250573
0.16666666666666666,0.17666666666666667,0.6566666666666666,62714787
0.0,0.75,0.25,786489
0.0,0.02,0.98,42487167
0.016666666666666666,0.016666666666666666,0.9666666666666667,53693425
0.22333333333333333,0.2563333333333333,0.5203333333333333,57875477
0.22333333333333336,0.30583333333333335,0.4708333333333334,33246590
0.03333333333333333,0.8883333333333333,0.07833333333333334,1131061
0.25,0.4875,0.2625,67178806
0.22333333333333336,0.2695333333333334,0.5071333333333333,26861268
0.3333333333333333,0.3333333333333333,0.3333333333333333,21053593
0.3333333333333333,0.3333333333333333,0.3333333333333333,7462434
