id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08999999999999997,0.08999999999999997,0.8200000000000001,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08999999999999997,0.08999999999999997,0.8200000000000001,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08583333333333332,0.08583333333333332,0.8283333333333334,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08583333333333332,0.08583333333333332,0.8283333333333334,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08999999999999997,0.08999999999999997,0.8200000000000001,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08999999999999997,0.08999999999999997,0.8200000000000001,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08583333333333332,0.08583333333333332,0.8283333333333334,0.0,0.0,1.0
87950922,0.0050000000000000044,0.0050000000000000044,0.99,0.08583333333333332,0.08583333333333332,0.8283333333333334,0.0,0.0,1.0
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.16666666666666669,0.5416666666666667,0.2916666666666667
81395819,0.3,0.4,0.3,0.31916666666666665,0.3616666666666667,0.31916666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333
81395819,0.3,0.4,0.3,0.31916666666666665,0.3616666666666667,0.31916666666666665,0.16666666666666669,0.5416666666666667,0.2916666666666667
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.16666666666666669,0.5416666666666667,0.2916666666666667
81395819,0.3,0.4,0.3,0.31916666666666665,0.3616666666666667,0.31916666666666665,0.3333333333333333,0.3333333333333333,0.3333333333333333
81395819,0.3,0.4,0.3,0.31916666666666665,0.3616666666666667,0.31916666666666665,0.16666666666666669,0.5416666666666667,0.2916666666666667
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.125,0.125,0.75,0.0,0.0,1.0
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.125,0.125,0.75,0.09666666666666665,0.13216666666666665,0.7711666666666667
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.27416666666666667,0.27416666666666667,0.45166666666666666,0.0,0.0,1.0
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.27416666666666667,0.27416666666666667,0.45166666666666666,0.09666666666666665,0.13216666666666665,0.7711666666666667
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.125,0.125,0.75,0.0,0.0,1.0
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.125,0.125,0.75,0.09666666666666665,0.13216666666666665,0.7711666666666667
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.27416666666666667,0.27416666666666667,0.45166666666666666,0.0,0.0,1.0
84152401,0.0050000000000000044,0.0050000000000000044,0.99,0.27416666666666667,0.27416666666666667,0.45166666666666666,0.09666666666666665,0.13216666666666665,0.7711666666666667
66411237,0.0050000000000000044,0.0050000000000000044,0.99,0.08333333333333337,0.08333333333333337,0.8333333333333333,0.0,0.0,1.0
