Growth,Loss,Stable,id
0.133,0.535,0.331,12758004
0.223,0.52,0.256,3876631
0.223,0.306,0.471,75062547
0.333,0.333,0.333,91270257
0.333,0.333,0.333,51970690
0.333,0.333,0.333,17818825
0.223,0.471,0.306,80277766
0.333,0.333,0.333,94831135
0.167,0.167,0.667,65313888
0.333,0.333,0.333,18316811
0.067,0.867,0.067,55572137
0.333,0.333,0.333,28442044
0.0,1.0,0.0,68751961
0.267,0.347,0.387,70780017
0.333,0.333,0.333,89076703
0.0,0.0,1.0,71006690
0.0,0.0,1.0,82156017
0.333,0.333,0.333,62856672
0.333,0.333,0.333,61886939
0.083,0.083,0.833,59404333
0.073,0.112,0.814,44941728
0.333,0.333,0.333,48181909
0.0,0.0,1.0,45160745
0.0,0.0,1.0,83656683
0.0,0.0,1.0,8290514
0.0,1.0,0.0,24747903
0.0,0.05,0.95,6190663
0.0,0.11,0.89,65313888
0.0,0.1,0.9,59472915
0.0,0.08,0.92,80397483
0.0,0.85,0.15,53610570
0.0,0.04,0.96,42018273
0.0,0.06,0.94,70780017
0.0,0.0,1.0,81432477
0.0,0.1,0.9,31193025
0.0,0.08,0.92,85900529
0.0,0.02,0.98,68885921
0.0,0.02,0.98,32467637
0.0,0.09,0.91,24038078
0.0,0.4,0.6,91112080
0.0,0.02,0.98,57588578
0.0,1.0,0.0,88369095
0.333,0.333,0.333,83158288
0.333,0.333,0.333,16028015
0.333,0.333,0.333,71071171
0.223,0.52,0.256,4216413
0.067,0.187,0.747,18316811
0.333,0.333,0.333,59472915
0.333,0.333,0.333,53298392
0.0,0.14,0.86,74231007
0.0,0.1,0.9,95981436
0.333,0.333,0.333,78328177
0.333,0.333,0.333,89076703
0.167,0.237,0.597,81432477
0.0,0.1,0.9,22318032
0.333,0.333,0.333,64039525
0.167,0.292,0.542,18569680
0.333,0.333,0.333,59404333
0.0,0.0,1.0,24038078
0.333,0.333,0.333,64960015
0.333,0.333,0.333,28903669
0.0,0.1,0.9,6533273
0.333,0.333,0.333,44677663
0.0,0.0,1.0,83158288
0.0,0.67,0.33,16028015
0.0,0.4,0.6,32787998
0.0,0.0,1.0,53249296
0.0,0.8,0.2,84489052
0.0,1.0,0.0,81677574
0.0,1.0,0.0,55572137
0.0,0.2,0.8,80397483
0.167,0.292,0.542,53298392
0.333,0.333,0.333,46182071
0.333,0.333,0.333,38454164
0.333,0.333,0.333,31193025
0.0,0.33,0.67,22318032
0.167,0.667,0.167,5104092
0.333,0.333,0.333,35377485
0.0,1.0,0.0,12758004
0.0,0.0,1.0,44941728
0.333,0.333,0.333,91112080
0.11,0.713,0.177,64960015
0.0,0.4,0.6,91704887
0.083,0.158,0.758,48181909
0.0,0.0,1.0,57588578
0.033,0.033,0.933,28903669
0.0,1.0,0.0,81677574
0.067,0.067,0.867,16807909
0.0,0.0,1.0,42271433
0.0,1.0,0.0,38290846
0.167,0.167,0.667,35006114
0.0,0.0,1.0,20713890
0.0,1.0,0.0,65254217
0.0,0.0,1.0,52597308
0.333,0.333,0.333,66193726
0.0,1.0,0.0,73000893
0.0,0.0,1.0,75437634
0.167,0.217,0.617,84589977
0.0,0.0,1.0,96011716
0.333,0.333,0.333,76432632
0.11,0.177,0.713,30183405
0.223,0.471,0.306,46942368
0.143,0.457,0.4,26594139
0.3,0.357,0.343,71071171
0.067,0.107,0.827,39409814
0.333,0.333,0.333,45160745
0.11,0.278,0.612,88369095
0.0,0.0,1.0,6533273
0.267,0.307,0.427,91704887
0.057,0.057,0.887,16807909
0.0,0.0,1.0,75338200
0.233,0.275,0.491,7581613
0.25,0.45,0.3,1589145
0.083,0.136,0.781,27798249
0.223,0.266,0.51,97425135
0.11,0.11,0.78,39699194
0.11,0.237,0.653,15484062
0.0,0.0,1.0,10351455
0.0,0.0,1.0,78721587
0.223,0.256,0.52,27211901
0.333,0.333,0.333,76432632
0.0,0.0,1.0,5451556
0.0,0.11,0.89,92137362
0.25,0.282,0.468,27515072
0.11,0.244,0.646,80774023
0.0,0.83,0.17,39409814
0.133,0.283,0.583,76897553
0.0,0.14,0.86,71295829
0.25,0.285,0.465,86800950
0.0,1.0,0.0,60429406
0.0,0.0,1.0,42271433
0.0,0.0,1.0,75338200
